ucsc	length	ensembl	gencode	RAM	RAM_unit	matrixFile	nRegions
chrUn_KI270748v1	93321	KI270748.1	KI270748.1	1.53	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_KI270748v1.Rdata	6
chrUn_KI270337v1	1121	KI270337.1	KI270337.1	NA	NA	NA	NA
chrUn_KI270749v1	158759	KI270749.1	KI270749.1	1.17	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_KI270749v1.Rdata	1
chr1_KI270713v1_random	40745	KI270713.1	KI270713.1	6.25	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr1_KI270713v1_random.Rdata	70
chrUn_KI270418v1	2145	KI270418.1	KI270418.1	NA	NA	NA	NA
chr13	114364328	13	13	1.7	Gb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr13.Rdata	23645
chr12	133275309	12	12	3.63	Gb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr12.Rdata	50350
chr11	135086622	11	11	3.5	Gb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr11.Rdata	48589
chr10	133797422	10	10	3.37	Gb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr10.Rdata	46764
chr17	83257441	17	17	3.44	Gb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr17.Rdata	47709
chr16	90338345	16	16	2.72	Gb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr16.Rdata	37701
chr15	101991189	15	15	2.68	Gb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr15.Rdata	37257
chrUn_KI270305v1	1472	KI270305.1	KI270305.1	NA	NA	NA	NA
chrUn_GL000218v1	161147	GL000218.1	GL000218.1	10.45	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_GL000218v1.Rdata	127
chrUn_KI270376v1	1136	KI270376.1	KI270376.1	NA	NA	NA	NA
chr19	58617616	19	19	3.54	Gb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr19.Rdata	49169
chr18	80373285	18	18	1.37	Gb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr18.Rdata	18950
chrUn_KI270320v1	4416	KI270320.1	KI270320.1	NA	NA	NA	NA
chrUn_GL000219v1	179198	GL000219.1	GL000219.1	12.3	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_GL000219v1.Rdata	152
chrUn_KI270518v1	2186	KI270518.1	KI270518.1	NA	NA	NA	NA
chr3_GL000221v1_random	155397	GL000221.1	GL000221.1	9.79	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr3_GL000221v1_random.Rdata	118
chr17_KI270729v1_random	280839	KI270729.1	KI270729.1	1.98	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr17_KI270729v1_random.Rdata	12
chrUn_GL000213v1	164239	GL000213.1	GL000213.1	1.53	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_GL000213v1.Rdata	6
chrUn_KI270746v1	66486	KI270746.1	KI270746.1	1.31	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_KI270746v1.Rdata	3
chrUn_KI270516v1	1300	KI270516.1	KI270516.1	NA	NA	NA	NA
chr16_KI270728v1_random	1872759	KI270728.1	KI270728.1	8.24	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr16_KI270728v1_random.Rdata	97
chrUn_KI270521v1	7642	KI270521.1	KI270521.1	NA	NA	NA	NA
chrUn_GL000214v1	137718	GL000214.1	GL000214.1	2.42	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chrUn_GL000214v1.Rdata	18
chrUn_KI270372v1	1650	KI270372.1	KI270372.1	NA	NA	NA	NA
chr9_KI270720v1_random	39050	KI270720.1	KI270720.1	1.76	Mb	/dcl01/leek/data/gtex_work/runs/gtex/DER_analysis/coverageMatrix/bwtool/coverageMatrix-cut0.5-chr9_KI270720v1_random.Rdata	9
chrUn_KI270593v1	3041	KI270593.1	KI270593.1	NA	NA	NA	NA
chrUn_KI270538v1	91309	KI270538.1	KI270538.1	NA	NA	NA	NA
